rank_test_macro_f1,param_n_estimators,param_learning_rate,param_estimator__max_depth,param_estimator__min_samples_leaf,param_estimator__criterion,param_estimator__class_weight,mean_test_macro_f1,std_test_macro_f1,mean_test_f1_g,std_test_f1_g,mean_test_f1_b,std_test_f1_b,mean_test_recall_b,std_test_recall_b,mean_test_accuracy,std_test_accuracy,mean_test_roc_auc,std_test_roc_auc,mean_train_macro_f1,std_train_macro_f1
32,50,0.5,2,1,entropy,,0.9329808096767402,0.026697616513656673,0.9547775145058678,0.016679008890035433,0.9111841048476128,0.0368163930643026,0.8646153846153846,0.05490389667248114,0.9401207243460765,0.022948777690754815,0.962051282051282,0.024729800565599334,0.9984459583788763,0.0019033209249629806
33,100,0.1,3,2,entropy,,0.9328223071031403,0.023555213206611404,0.9550217341569436,0.01582963370773456,0.9106228800493371,0.03128897421894366,0.8492307692307692,0.02970466064282379,0.9401609657947686,0.02101998503854104,0.960417094017094,0.024588479122829424,0.9914084882085842,0.0063088820451880166
34,100,1.0,3,2,entropy,,0.9327844723588188,0.026666833631113235,0.9550133891620819,0.016579923654526773,0.9105555555555556,0.03678432301610412,0.8572307692307692,0.05395066780136293,0.9401609657947686,0.022879519751990273,0.9742905982905983,0.016229143012287745,1.0,0.0
35,50,1.0,3,1,gini,,0.9326393771802447,0.032052460323976746,0.9549213631770656,0.020302362739083826,0.9103573911834237,0.043838884224937334,0.8643076923076922,0.06544811396290788,0.9400402414486922,0.027767474397907006,0.9696752136752137,0.020984458312902736,1.0,0.0
36,200,0.1,3,1,entropy,,0.9326338775728873,0.019363798751504374,0.9551088487833532,0.012163652197858994,0.9101589063624216,0.026646892776566036,0.8489230769230769,0.039981060604998835,0.9401609657947686,0.016690550167626016,0.9599042735042737,0.02791059183677558,1.0,0.0
37,25,1.0,2,5,entropy,balanced,0.9304794290804684,0.013231642536062934,0.9521651108747884,0.008660051840149187,0.9087937472861485,0.01790273722629655,0.8729230769230769,0.0302353686068634,0.9372635814889337,0.011640425946328557,0.9642324786324787,0.022682356792553426,0.9992254792519397,0.0015490414961204734
38,100,0.1,3,5,entropy,balanced,0.9304332360168652,0.02103135087325652,0.9522618290664605,0.015195855432685151,0.9086046429672701,0.026917390978179082,0.8649230769230769,0.02041927387450716,0.9373038229376258,0.019428161341543473,0.9636205128205129,0.020315053487572638,0.9795607789065475,0.01241832634831665
39,200,1.0,2,5,entropy,,0.9302727910394584,0.02181977952959919,0.9524488651312678,0.014429866237556124,0.9080967169476486,0.029282681857711358,0.8652307692307692,0.040137043345526965,0.9373440643863178,0.019293078408334968,0.9707965811965812,0.018393294569473886,1.0,0.0
40,50,1.5,3,2,entropy,,0.9302371852063042,0.016743979368579912,0.9524021143131286,0.010832435134968883,0.9080722560994795,0.022762672955308583,0.8649230769230769,0.032510717395377926,0.9373038229376258,0.014635168157236726,0.9646905982905982,0.014648292437255064,1.0,0.0
40,100,1.5,3,5,entropy,,0.9302371852063042,0.016743979368579912,0.9524021143131286,0.010832435134968883,0.9080722560994795,0.022762672955308583,0.8649230769230769,0.032510717395377926,0.9373038229376258,0.014635168157236724,0.9753299145299146,0.018461963907728345,1.0,0.0
