seed,best_threshold,iter45_train_accuracy,iter45_train_macro_f1,iter45_train_b_recall,iter45_train_b_f1,iter45_train_g_recall,iter45_train_g_f1,iter45_train_roc_auc,iter45_test_accuracy,iter45_test_macro_f1,iter45_test_b_recall,iter45_test_b_f1,iter45_test_g_recall,iter45_test_g_f1,iter45_test_roc_auc,iter6_train_accuracy,iter6_train_macro_f1,iter6_train_b_recall,iter6_train_b_f1,iter6_train_g_recall,iter6_train_g_f1,iter6_train_roc_auc,iter6_test_accuracy,iter6_test_macro_f1,iter6_test_b_recall,iter6_test_b_f1,iter6_test_g_recall,iter6_test_g_f1,iter6_test_roc_auc
20,0.31837162573007416,0.9892857142857143,0.9884091567661548,0.9900990099009901,0.9852216748768473,0.9888268156424581,0.9915966386554622,0.9992256208861109,0.971830985915493,0.9691304347826086,0.96,0.96,0.9782608695652174,0.9782608695652174,0.9756521739130435,0.9785714285714285,0.9769623169326971,0.9900990099009901,0.970873786407767,0.9720670391061452,0.9830508474576272,0.9992256208861109,0.9577464788732394,0.9541047188106011,0.96,0.9411764705882353,0.9565217391304348,0.967032967032967,0.9756521739130435
21,0.21135026853575178,0.9785714285714285,0.9767686265833286,0.9702970297029703,0.9702970297029703,0.9832402234636871,0.9832402234636871,0.9941921566458322,0.9859154929577465,0.9847015729368671,1.0,0.9803921568627451,0.9782608695652174,0.989010989010989,1.0,0.9785714285714285,0.976867151354924,0.9801980198019802,0.9705882352941176,0.9776536312849162,0.9831460674157303,0.9941921566458322,0.971830985915493,0.9696581196581197,1.0,0.9615384615384616,0.9565217391304348,0.9777777777777777,1.0
22,0.1435696019135696,0.9821428571428571,0.9805984007538907,0.9702970297029703,0.9751243781094527,0.9888268156424581,0.9860724233983287,0.9963493556059516,0.9295774647887324,0.9204927211646137,0.84,0.8936170212765957,0.9782608695652174,0.9473684210526315,0.9773913043478261,0.9785714285714285,0.9767686265833286,0.9702970297029703,0.9702970297029703,0.9832402234636871,0.9832402234636871,0.9963493556059516,0.9436619718309859,0.9370567375886525,0.88,0.9166666666666666,0.9782608695652174,0.9574468085106383,0.9773913043478261
23,0.18364950208837738,0.9785714285714285,0.9767686265833286,0.9702970297029703,0.9702970297029703,0.9832402234636871,0.9832402234636871,0.9945793462027767,0.9859154929577465,0.9844195742813254,0.96,0.9795918367346939,1.0,0.989247311827957,1.0,0.9785714285714285,0.976867151354924,0.9801980198019802,0.9705882352941176,0.9776536312849162,0.9831460674157303,0.9945793462027767,0.9859154929577465,0.9844195742813254,0.96,0.9795918367346939,1.0,0.989247311827957,1.0
24,0.0,0.975,0.9728377610554471,0.9603960396039604,0.9651741293532339,0.9832402234636871,0.9805013927576601,0.9949665357597212,0.9859154929577465,0.9847015729368671,1.0,0.9803921568627451,0.9782608695652174,0.989010989010989,0.9982608695652174,0.975,0.9728377610554471,0.9603960396039604,0.9651741293532339,0.9832402234636871,0.9805013927576601,0.9949665357597212,0.9859154929577465,0.9847015729368671,1.0,0.9803921568627451,0.9782608695652174,0.989010989010989,0.9982608695652174
25,0.3743571222982355,0.9714285714285714,0.9688888888888889,0.9504950495049505,0.96,0.9832402234636871,0.9777777777777777,0.9960174788428563,0.9859154929577465,0.9847015729368671,1.0,0.9803921568627451,0.9782608695652174,0.989010989010989,0.9982608695652174,0.975,0.9730676743387152,0.9801980198019802,0.9658536585365853,0.9720670391061452,0.9802816901408451,0.9960174788428563,0.971830985915493,0.9696581196581197,1.0,0.9615384615384616,0.9565217391304348,0.9777777777777777,0.9982608695652174
26,0.23610091448086457,0.9857142857142858,0.9845124177222191,0.9801980198019802,0.9801980198019802,0.9888268156424581,0.9888268156424581,0.9957409148736103,0.9295774647887324,0.9204927211646137,0.84,0.8936170212765957,0.9782608695652174,0.9473684210526315,0.9817391304347826,0.9785714285714285,0.976867151354924,0.9801980198019802,0.9705882352941176,0.9776536312849162,0.9831460674157303,0.9957409148736103,0.9436619718309859,0.9382608695652175,0.92,0.92,0.9565217391304348,0.9565217391304348,0.9817391304347826
27,0.15863843904714836,0.9892857142857143,0.9883590404523344,0.9801980198019802,0.9850746268656716,0.994413407821229,0.9916434540389972,0.9955749764920625,0.9295774647887324,0.9220978714066272,0.88,0.8979591836734694,0.9565217391304348,0.946236559139785,0.9791304347826086,0.9857142857142858,0.9845124177222191,0.9801980198019802,0.9801980198019802,0.9888268156424581,0.9888268156424581,0.9955749764920625,0.9436619718309859,0.9393162393162393,0.96,0.9230769230769231,0.9347826086956522,0.9555555555555556,0.9791304347826086
28,0.0,0.975,0.9728377610554471,0.9603960396039604,0.9651741293532339,0.9832402234636871,0.9805013927576601,0.9957409148736103,0.9295774647887324,0.9186712485681557,0.8,0.8888888888888888,1.0,0.9484536082474226,0.9982608695652174,0.975,0.9728377610554471,0.9603960396039604,0.9651741293532339,0.9832402234636871,0.9805013927576601,0.9957409148736103,0.9295774647887324,0.9186712485681557,0.8,0.8888888888888888,1.0,0.9484536082474226,0.9982608695652174
29,0.15839110506528042,0.9821428571428571,0.9805984007538907,0.9702970297029703,0.9751243781094527,0.9888268156424581,0.9860724233983287,0.995187786935118,0.971830985915493,0.9696581196581197,1.0,0.9615384615384616,0.9565217391304348,0.9777777777777777,1.0,0.9785714285714285,0.976867151354924,0.9801980198019802,0.9705882352941176,0.9776536312849162,0.9831460674157303,0.995187786935118,0.971830985915493,0.9696581196581197,1.0,0.9615384615384616,0.9565217391304348,0.9777777777777777,1.0
