rank_test_macro_f1,param_n_estimators,param_criterion,param_max_features,param_max_leaf_nodes,param_min_samples_leaf,param_min_samples_split,param_ccp_alpha,param_max_samples,mean_test_macro_f1,std_test_macro_f1,mean_test_f1_g,std_test_f1_g,mean_test_f1_b,std_test_f1_b,mean_test_recall_b,std_test_recall_b,mean_test_accuracy,std_test_accuracy,mean_test_roc_auc,std_test_roc_auc,mean_train_macro_f1,std_train_macro_f1
34,300,log_loss,0.3,,1,8,0.0,0.8,0.9366664279390846,0.02247971966861069,0.956708742402992,0.015340680993039207,0.9166241134751771,0.029647929919365323,0.8729230769230769,0.0302353686068634,0.9430181086519115,0.02020561568610233,0.9751726495726496,0.01389199796890718,0.9898864486143243,0.005279376613272301
34,300,gini,0.3,32,1,4,0.0,,0.9366664279390846,0.02247971966861069,0.956708742402992,0.015340680993039207,0.9166241134751771,0.029647929919365323,0.8729230769230769,0.0302353686068634,0.9430181086519115,0.02020561568610233,0.9750017094017094,0.013752914300765143,1.0,0.0
36,300,gini,0.3,16,4,4,0.001,,0.9366158526701035,0.028175067694774833,0.9566116445499334,0.019741710350680543,0.9166200607902735,0.03664127069567404,0.8726153846153846,0.030928816918471574,0.9429376257545273,0.02564539251375491,0.9705435897435898,0.014651215737274964,0.9694375959475963,0.00580972577836988
37,300,entropy,0.5,32,2,8,0.0,1.0,0.9364256015437717,0.02246779514174284,0.9568937562790328,0.015342888172274756,0.9159574468085108,0.029601965209226873,0.8652307692307692,0.03116058806442381,0.9430181086519115,0.02020561568610233,0.9755076923076922,0.014547458086599102,0.9890997468916849,0.005169876172225174
37,300,log_loss,0.3,32,2,4,0.001,,0.9364256015437717,0.02246779514174284,0.9568937562790328,0.015342888172274756,0.9159574468085108,0.029601965209226873,0.8652307692307692,0.03116058806442381,0.9430181086519115,0.02020561568610233,0.9756786324786326,0.015750373548892437,0.9992254792519397,0.0015490414961204734
37,300,log_loss,0.5,,2,8,0.001,0.8,0.9364256015437717,0.02246779514174284,0.9568937562790328,0.015342888172274756,0.9159574468085108,0.029601965209226873,0.8652307692307692,0.03116058806442381,0.9430181086519115,0.02020561568610233,0.9728547008547009,0.01572697137890871,0.9812639279442659,0.006764092408698632
40,300,log_loss,0.3,,4,8,0.001,1.0,0.9363977931299644,0.020161170295816554,0.95684899485741,0.013824020085165905,0.9159465914025186,0.026511817384876353,0.8649230769230769,0.02041927387450716,0.9429778672032194,0.018166952874563103,0.975863247863248,0.01600309707770977,0.9804264513603712,0.007863302196755172
40,200,log_loss,0.3,32,1,2,0.0,1.0,0.9363977931299644,0.020161170295816554,0.95684899485741,0.013824020085165905,0.9159465914025186,0.026511817384876353,0.8649230769230769,0.02041927387450716,0.9429778672032194,0.018166952874563103,0.9776615384615386,0.013939474061196978,1.0,0.0
40,300,entropy,0.3,,1,2,0.0,0.8,0.9363977931299644,0.020161170295816554,0.95684899485741,0.013824020085165905,0.9159465914025186,0.026511817384876353,0.8649230769230769,0.02041927387450716,0.9429778672032194,0.018166952874563103,0.9771965811965811,0.014453316447947468,1.0,0.0
40,200,log_loss,0.3,16,1,4,0.0,1.0,0.9363977931299644,0.020161170295816554,0.95684899485741,0.013824020085165905,0.9159465914025186,0.026511817384876353,0.8649230769230769,0.02041927387450716,0.9429778672032194,0.018166952874563103,0.9751726495726494,0.014361813313164678,0.9992254792519397,0.0015490414961204734
