rank_test_macro_f1,param_max_depth,param_min_samples_leaf,mean_test_macro_f1,std_test_macro_f1,mean_test_f1_b,std_test_f1_b,mean_test_recall_b,std_test_recall_b,mean_test_accuracy,std_test_accuracy,mean_test_roc_auc,std_test_roc_auc,mean_train_macro_f1,std_train_macro_f1
13,7,2,0.8786681835504991,0.03942723902694642,0.8437388481962833,0.052275616135129384,0.8409230769230769,0.07209198594760602,0.8888933601609658,0.03543610881365442,0.8880786324786325,0.04849100368954526,0.9641467936279596,0.012610905576777633
15,6,3,0.8783559924631291,0.040621037803531004,0.8430039366173819,0.05562086867527037,0.8409230769230769,0.0843638218543341,0.8888933601609658,0.03543610881365442,0.906782905982906,0.04062103963624478,0.9555928156081299,0.009767734107509456
16,5,8,0.8733875401989696,0.02953034978699155,0.8381657870695449,0.03725811227428172,0.8412307692307692,0.035861667161436205,0.8832193158953722,0.027560721600498352,0.9093367521367522,0.0386845430878195,0.9338320989234656,0.016282571282094437
16,6,8,0.8733875401989696,0.02953034978699155,0.8381657870695449,0.03725811227428172,0.8412307692307692,0.035861667161436205,0.8832193158953722,0.027560721600498352,0.9038256410256411,0.046862301057759424,0.9338742897293326,0.016324304791134975
16,7,8,0.8733875401989696,0.02953034978699155,0.8381657870695449,0.03725811227428172,0.8412307692307692,0.035861667161436205,0.8832193158953722,0.027560721600498352,0.9038256410256411,0.046862301057759424,0.9338742897293326,0.016324304791134975
16,8,8,0.8733875401989696,0.02953034978699155,0.8381657870695449,0.03725811227428172,0.8412307692307692,0.035861667161436205,0.8832193158953722,0.027560721600498352,0.9038256410256411,0.046862301057759424,0.9338742897293326,0.016324304791134975
16,,8,0.8733875401989696,0.02953034978699155,0.8381657870695449,0.03725811227428172,0.8412307692307692,0.035861667161436205,0.8832193158953722,0.027560721600498352,0.9038256410256411,0.046862301057759424,0.9338742897293326,0.016324304791134975
21,3,3,0.8701345216425374,0.05762996268098897,0.8300880503144654,0.08525319602489495,0.8329230769230769,0.13981424701595702,0.883138832997988,0.04564476676228081,0.911220512820513,0.03541724182281689,0.9163856938094724,0.005086418851316116
22,3,1,0.8697010629301248,0.05768733180921269,0.82875619681835,0.08529322787544732,0.8249230769230769,0.13802460976002892,0.883138832997988,0.04564476676228081,0.9085538461538463,0.038225472087883856,0.9170514637916846,0.00525571026028612
22,3,2,0.8697010629301248,0.05768733180921269,0.82875619681835,0.08529322787544732,0.8249230769230769,0.13802460976002892,0.883138832997988,0.04564476676228081,0.9085538461538463,0.038225472087883856,0.9170514637916846,0.00525571026028612
24,7,5,0.8684767175785483,0.030852171128225258,0.8294485144485145,0.04307511087949048,0.8169230769230769,0.07060851315654161,0.8803219315895372,0.026573193151859607,0.8954051282051283,0.03245328457556892,0.9516037502812369,0.01065636205689469
