rank_test_macro_f1,param_n_estimators,param_criterion,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_max_features,param_bootstrap,param_max_samples,param_max_leaf_nodes,param_min_impurity_decrease,param_ccp_alpha,param_class_weight,mean_test_macro_f1,std_test_macro_f1,mean_test_f1_g,std_test_f1_g,mean_test_f1_b,std_test_f1_b,mean_test_recall_b,std_test_recall_b,mean_test_accuracy,std_test_accuracy,mean_test_roc_auc,std_test_roc_auc,mean_train_macro_f1,std_train_macro_f1
54,100,log_loss,3,12,4,log2,True,,32,0.0,0.001,balanced_subsample,0.9239412018920838,0.037447933184581984,0.9480023984980568,0.02476397557874249,0.8998800052861107,0.050215704690812935,0.8649230769230769,0.0652452814045746,0.93158953722334,0.033130958469909835,0.9618529914529914,0.023855433295446395,0.9486899496418465,0.004909800923927383
55,500,log_loss,6,4,1,0.7,True,0.6,64,0.001,0.01,balanced_subsample,0.9238338334745979,0.03331478917559652,0.9481305099957578,0.023691821207428222,0.8995371569534383,0.043074376050514444,0.8495384615384616,0.04514172291715275,0.9316297786720323,0.030489742974323775,0.9712478632478632,0.016044062346906515,0.976459256456707,0.007075773841429566
56,200,log_loss,4,20,2,0.3,True,0.6,,0.005,0.01,,0.9237169239601275,0.023260897565340853,0.9481915237935649,0.016202015109189307,0.8992423241266904,0.030410459285454168,0.8492307692307692,0.029704660642823795,0.93158953722334,0.021085520734501532,0.969476923076923,0.01437430845859359,0.9534192103056445,0.004637174315799823
57,500,gini,4,12,4,sqrt,True,0.8,64,0.001,0.0,,0.9235326049768002,0.029682989019410654,0.9482796645297569,0.019713354657810045,0.8987855454238434,0.03983051224989581,0.8489230769230769,0.04731263263760104,0.93158953722334,0.02625827762494653,0.9701948717948717,0.016744772845117894,0.950006058352432,0.0033148927636492574
57,300,entropy,4,4,2,sqrt,True,,16,0.0,0.01,,0.9235326049768002,0.029682989019410654,0.9482796645297569,0.019713354657810045,0.8987855454238434,0.03983051224989581,0.8489230769230769,0.04731263263760104,0.93158953722334,0.02625827762494653,0.972676923076923,0.013890045868970087,0.9530378135848936,0.003086606605838752
59,100,entropy,,12,4,sqrt,True,0.6,8,0.005,0.001,,0.9234598013872791,0.029781889568466086,0.9482796645297569,0.019713354657810045,0.8986399382448015,0.040008768708805466,0.8489230769230769,0.04731263263760104,0.9315492957746478,0.02630553675256576,0.9689162393162393,0.019178413364823774,0.9510226762585272,0.005980233741729439
60,200,entropy,4,2,8,sqrt,True,0.8,8,0.0,0.005,,0.9231756871838016,0.02434696934369743,0.9485617762588561,0.015459189511160919,0.8977895981087471,0.03331915430371045,0.8412307692307692,0.0438868906576626,0.93158953722334,0.02108552073450153,0.9669743589743589,0.018903231589113303,0.949236582712885,0.00472503293394972
61,500,gini,3,4,12,log2,True,,32,0.005,0.0,,0.9229352581442665,0.026177679061791383,0.948790138037942,0.016862204800750274,0.8970803782505911,0.03556995866666422,0.8335384615384616,0.045683759884227605,0.9316297786720323,0.02283552410903247,0.9584478632478632,0.023746109777474808,0.9425943990654154,0.004266174204294888
62,500,gini,6,20,2,0.3,False,,,0.001,0.0,,0.9218430789572052,0.03494488502296179,0.9449911309674615,0.025950639655127932,0.898695026946949,0.0439910458498714,0.8729230769230769,0.0302353686068634,0.9287323943661973,0.03264853982113037,0.9702153846153847,0.014251685457814692,0.9685185069125174,0.004398746622287533
63,300,gini,3,8,8,sqrt,False,,64,0.005,0.001,balanced,0.92161308919501,0.03934887360183508,0.9450830913679773,0.02837701673698013,0.8981430870220428,0.050463026473511204,0.8726153846153846,0.0472926179860698,0.928692152917505,0.03623643581413666,0.962208547008547,0.022076255387622125,0.950679211001509,0.00885630611802956
64,500,entropy,4,12,2,,True,0.6,16,0.001,0.005,,0.9213635475263178,0.0351893251987929,0.9453054992172619,0.02580836389018002,0.8974215958353738,0.04477130736694179,0.8652307692307692,0.053767855160129906,0.9287323943661973,0.03264853982113037,0.9643760683760684,0.016557628858523552,0.9551092463891113,0.007013779294624079
65,100,log_loss,16,4,8,0.5,False,,32,0.001,0.001,,0.9212107749030999,0.03950705530284189,0.9455208405863414,0.02809528007723906,0.8969007092198582,0.050961272108995224,0.8572307692307692,0.04038161160990257,0.928732394366197,0.03620531883074101,0.9657777777777777,0.01847948478785843,0.9780633026432319,0.006398705340999108
66,200,entropy,10,20,1,log2,True,0.6,64,0.005,0.005,,0.921129955547294,0.022798988475439246,0.9455713574122455,0.0153307490080272,0.8966885536823425,0.030383835918487843,0.8649230769230769,0.04119401346751892,0.9287323943661973,0.020319102538304667,0.9732034188034188,0.015957228242167266,0.9567396364491154,0.005053354318739255
67,100,entropy,4,8,2,0.7,True,0.6,64,0.001,0.0,balanced,0.9209581492050877,0.03581297362464863,0.945746085644218,0.025114483016485802,0.8961702127659574,0.04662711467101667,0.8575384615384616,0.058490680995468045,0.9287726358148894,0.03257892612127053,0.9691008547008547,0.018663665893239634,0.9606433632192986,0.007148245913043536
68,200,entropy,4,2,12,log2,False,,16,0.0,0.01,,0.9203138125439757,0.03369703733496098,0.9461802439153161,0.022668767150174317,0.8944473811726356,0.04481084951601312,0.8412307692307692,0.0438868906576626,0.9287323943661973,0.030044331351013406,0.9671863247863248,0.01574183421451066,0.952356304054623,0.0037102515441159944
69,300,log_loss,6,12,12,sqrt,True,0.6,8,0.0,0.01,,0.9195636891334102,0.03618758363108014,0.9466877647402502,0.022957396319643022,0.8924396135265701,0.049441063630348656,0.8332307692307692,0.06420086821289835,0.928732394366197,0.0313734680803814,0.9566700854700855,0.02562519032390849,0.9340010046041799,0.0022186193822787896
70,200,log_loss,8,2,8,0.3,True,,16,0.0,0.01,balanced,0.9192547281784185,0.040989085593765955,0.9421097580159621,0.029510024131187706,0.8963996983408749,0.05254214169333193,0.8963076923076922,0.054623834665917304,0.9257545271629777,0.03775239879272754,0.9685538461538462,0.01981519586067366,0.9567037142154786,0.007222968755217165
71,500,gini,4,8,4,log2,True,0.8,16,0.01,0.005,balanced,0.9186380580324645,0.026773763755141965,0.942795523828034,0.01939015869497491,0.8944805922368948,0.034228185269489356,0.8729230769230769,0.0302353686068634,0.9258350100603622,0.02473314208893942,0.9678769230769231,0.017163749733562203,0.9523970554434789,0.006137411168960383
72,300,gini,5,8,4,log2,True,0.6,64,0.0,0.005,balanced_subsample,0.918606731537394,0.026473138653696597,0.9427227115902477,0.01985001834562321,0.8944907514845403,0.03341146600585565,0.8729230769230769,0.03942305816134637,0.9258350100603622,0.02473314208893942,0.9687452991452992,0.018018130656695493,0.9563934595772341,0.005675771921521187
73,100,log_loss,3,2,1,0.3,True,1.0,8,0.005,0.0,balanced,0.9184234352801475,0.0307532827588966,0.9429302846133141,0.02134912146528326,0.893916585946981,0.04030774484005105,0.8729230769230769,0.05323699385570994,0.9258350100603622,0.027838707292439337,0.9648547008547009,0.023867028819072742,0.9550962154347518,0.008804305192815687
74,100,entropy,5,4,4,0.5,False,,32,0.005,0.0,balanced,0.918272487068311,0.038964218678663044,0.943184429918935,0.02739891437134907,0.893360544217687,0.05054330393512131,0.8652307692307692,0.053767855160129906,0.9258752515090543,0.0355354094438267,0.9632752136752136,0.019888345207970493,0.9692716688828457,0.005955181239135932
75,100,entropy,6,8,4,log2,True,0.6,8,0.01,0.005,balanced_subsample,0.9181501653320595,0.025677790253313553,0.9431784010412058,0.017471079592623243,0.8931219296229129,0.03400031421295727,0.8649230769230769,0.04119401346751892,0.9258350100603622,0.02302380647352737,0.969080341880342,0.020966667067345807,0.9555581818007906,0.008681821271659985
76,100,log_loss,16,2,8,0.5,True,,32,0.01,0.0,,0.9180876197198854,0.03970123178810357,0.9432991443208723,0.028708654537980743,0.8928760951188985,0.05086801789983146,0.8575384615384616,0.058490680995468045,0.9259154929577467,0.03660720152238196,0.9669880341880341,0.017940785874477425,0.9544027659296292,0.007336178615093592
77,100,gini,5,12,8,log2,False,,8,0.01,0.001,balanced,0.916740126946076,0.039414189155212526,0.9393505120099128,0.029594549802268475,0.894129741882239,0.04938974094365033,0.9043076923076923,0.048361557426187085,0.9229376257545272,0.036918102462158854,0.9653811965811965,0.018583045536610398,0.9459514779422797,0.012258744390763868
78,300,entropy,4,4,8,0.3,True,0.6,64,0.005,0.001,balanced,0.9160056041265641,0.04853408178649394,0.9399462552670237,0.03534905849593288,0.8920649529861043,0.06190159056736546,0.8883076923076922,0.06434816540145137,0.922897384305835,0.04486901679089189,0.964294017094017,0.020617460739387868,0.9370511997209476,0.008646855561792547
