rank_test_macro_f1,param_classifier__C,param_classifier__gamma,param_classifier__class_weight,param_pca__n_components,mean_test_macro_f1,std_test_macro_f1,mean_test_f1_b,std_test_f1_b,mean_test_recall_b,std_test_recall_b,mean_test_accuracy,std_test_accuracy,mean_test_roc_auc,std_test_roc_auc,mean_train_macro_f1,std_train_macro_f1
11,1.0,0.03,balanced,0.99,0.9340539971132704,0.01846138238968086,0.9140407311860915,0.02425208914862547,0.8892307692307693,0.04543022480071816,0.9401609657947686,0.016690550167625978,0.9801709401709402,0.011459225245704533,0.9704875960923746,0.005930961411439933
12,10.0,0.03,balanced,0.95,0.933679630848171,0.01831448245335106,0.9129070777247069,0.024069335506150286,0.8735384615384616,0.03638583507469411,0.9402012072434609,0.01652615911577075,0.9743042735042735,0.014691495331131236,0.9891401789555008,0.004539050067605423
13,1.0,0.01,balanced,,0.9335368817874201,0.025570206668011648,0.9126681455190772,0.033787459759852874,0.8729230769230769,0.03942305816134637,0.9401207243460764,0.022948777690754825,0.9807247863247863,0.005935121508792251,0.9521630585149465,0.005811403887968327
14,10.0,0.01,balanced,0.99,0.9335053906711763,0.021564997005504585,0.9125048802129548,0.029083109646566418,0.8729230769230769,0.03942305816134637,0.9401609657947686,0.018979123213659386,0.980157264957265,0.0162686425259434,0.9821038448715885,0.006808474111575639
15,1.0,0.1,balanced,,0.9326454759059801,0.02791556127727581,0.9152236335093479,0.03408246876493444,0.9363076923076923,0.03223581748605241,0.9372233400402414,0.026600480325791605,0.9804649572649573,0.020004523997065923,0.9883845478059408,0.004910765822616551
16,1.0,0.1,balanced,0.99,0.9325194185162082,0.026052252354258856,0.9147711448215651,0.03145603823747926,0.9286153846153846,0.029793768460086634,0.9372635814889337,0.025005907993498395,0.9799384615384614,0.020211003527744766,0.9876185929718284,0.0061959698307396055
17,10.0,0.1,balanced,0.99,0.9324560726549084,0.02021081390401797,0.914561824729892,0.02445333773755004,0.928923076923077,0.04572518889417827,0.9373038229376258,0.019428161341543505,0.9747965811965813,0.02229527925261975,0.9961359567257553,0.00244391083730476
18,1.0,0.1,balanced,0.95,0.9322253602148937,0.02046270053080635,0.913768173936241,0.025197958822575903,0.9209230769230767,0.034778759756171784,0.9373038229376258,0.019428161341543505,0.9802871794871795,0.018811045539530953,0.9868474591544322,0.005257925415890255
18,3.0,0.1,balanced,0.95,0.9322253602148937,0.02046270053080635,0.913768173936241,0.025197958822575903,0.9209230769230767,0.034778759756171784,0.9373038229376258,0.019428161341543505,0.9757059829059831,0.01921330534668488,0.9906941375789315,0.0031111681680357373
20,10.0,0.01,balanced,,0.9302605711557399,0.021762151396986108,0.908113475177305,0.028914080359855574,0.8649230769230769,0.03251071739537797,0.9373038229376258,0.019428161341543473,0.9838700854700855,0.014814814113521844,0.9805560073786623,0.004274635107641236
