rank_test_macro_f1,param_classifier__kernel,param_classifier__C,param_classifier__gamma,param_classifier__degree,param_classifier__coef0,param_classifier__class_weight,mean_test_macro_f1,std_test_macro_f1,mean_test_f1_b,std_test_f1_b,mean_test_recall_b,std_test_recall_b,mean_test_accuracy,std_test_accuracy,mean_test_roc_auc,std_test_roc_auc,mean_train_macro_f1,std_train_macro_f1
41,rbf,3.0,0.3,,,balanced,0.9280840531812515,0.01924717281034514,0.9123384336130409,0.021842564363117215,0.984,0.019595917942265444,0.93158953722334,0.019051680544872395,0.9874119658119659,0.015076394354742721,1.0,0.0
42,rbf,30.0,0.01,,,,0.9264495671743079,0.03018230845558872,0.9022709823985098,0.04060122739279618,0.8489230769230769,0.047312632637601035,0.9344064386317908,0.02660108909512319,0.9756991452991454,0.02074451936401042,0.9844409236009023,0.002460511675481935
43,rbf,1.0,0.01,,,balanced,0.9262569440845209,0.030548511894273284,0.9018463356973996,0.041577401757365795,0.8486153846153845,0.053908535293725,0.9343661971830987,0.02660912354500978,0.9764034188034187,0.010768490545717631,0.9481117305251889,0.004724838632287359
44,rbf,0.1,scale,,,,0.9230138318900611,0.021379696624033245,0.8972813238770685,0.028663754229357716,0.8335384615384616,0.038039530979755286,0.9316297786720323,0.018926062855537426,0.9753777777777778,0.009912605766720442,0.9320569698164783,0.0058034293203200644
44,rbf,0.1,0.03,,,,0.9230138318900611,0.021379696624033245,0.8972813238770685,0.028663754229357716,0.8335384615384616,0.038039530979755286,0.9316297786720323,0.018926062855537426,0.9755555555555556,0.009623017673048396,0.93121526607862,0.006084258529311247
46,poly,0.1,0.3,2.0,0.0,balanced,0.9227263715100269,0.02850651270403848,0.8965253366224688,0.03917557221159174,0.8335384615384616,0.058025907292861556,0.9316297786720323,0.02455796845008615,0.9609709401709402,0.0255892226565456,0.9821211267635984,0.004008137936433558
46,poly,10.0,0.03,2.0,0.0,balanced,0.9227263715100269,0.02850651270403848,0.8965253366224688,0.03917557221159174,0.8335384615384616,0.058025907292861556,0.9316297786720323,0.02455796845008615,0.9609709401709402,0.0255892226565456,0.9821211267635984,0.004008137936433558
48,rbf,1.0,0.01,,,,0.9224750997637139,0.019761621798806424,0.8959310963473776,0.027541294973365216,0.8252307692307692,0.04134542038705433,0.93158953722334,0.016773010419201602,0.9769435897435897,0.009247458164501248,0.9403195850233781,0.008700033606040184
49,poly,1.0,0.1,2.0,0.0,balanced,0.9194581660451547,0.023610949094364116,0.8920927125089937,0.03264008043768797,0.8255384615384616,0.047324637365490155,0.9287726358148894,0.02020705824026365,0.9581606837606838,0.02332426259931362,0.9828934068231281,0.0031405703663541476
49,poly,10.0,scale,2.0,0.0,balanced,0.9194581660451547,0.023610949094364116,0.8920927125089937,0.03264008043768797,0.8255384615384616,0.047324637365490155,0.9287726358148894,0.02020705824026365,0.9595692307692307,0.025068475788134294,0.9828934068231281,0.0031405703663541476
51,rbf,1.0,0.3,,,,0.9191245743042646,0.01467443058949098,0.9014199747069658,0.0164251945781241,0.976,0.01959591794226544,0.9230583501006036,0.01465286138378116,0.9811897435897435,0.01695454072410014,0.9938074807480749,0.0030963189891199112
52,rbf,0.3,0.01,,,balanced,0.9166577107688937,0.026510677858610686,0.8890572892740198,0.03622234494348499,0.8329230769230769,0.047623772095866705,0.9258350100603622,0.02302380647352737,0.9711384615384613,0.0077892437321923635,0.935833742691649,0.010606664831326808
53,poly,0.1,0.3,2.0,0.0,,0.9157615703753539,0.016493915600146635,0.8864953886693018,0.02328477400112499,0.8098461538461539,0.04485980792272637,0.9259557344064386,0.013806981204502982,0.9658461538461539,0.023988230976114768,0.9851579442579121,0.004583717845110496
53,poly,10.0,scale,2.0,0.0,,0.9157615703753539,0.016493915600146635,0.8864953886693018,0.02328477400112499,0.8098461538461539,0.04485980792272637,0.9259557344064386,0.013806981204502982,0.9655111111111111,0.022962943847064918,0.9851579442579121,0.004583717845110496
53,poly,10.0,0.03,2.0,0.0,,0.9157615703753539,0.016493915600146635,0.8864953886693018,0.02328477400112499,0.8098461538461539,0.04485980792272637,0.9259557344064386,0.013806981204502982,0.9658461538461539,0.023988230976114768,0.9851579442579121,0.004583717845110496
56,poly,1.0,0.1,2.0,0.0,,0.9155443918927071,0.02052737163424547,0.8860203371842035,0.02959880188441744,0.8095384615384615,0.05292307692307693,0.9259154929577467,0.016699183019069103,0.961982905982906,0.02039051859550815,0.9851579442579121,0.004583717845110496
57,poly,0.1,0.1,2.0,0.5,balanced,0.9137225219922259,0.03673881431988228,0.8855186107745595,0.04974604314261993,0.8406153846153845,0.06767552239444441,0.9229778672032193,0.032201055369602175,0.9686017094017094,0.015835484103665046,0.9556700911600517,0.003193974139061728
57,poly,0.1,0.1,2.0,1.0,balanced,0.9137225219922259,0.03673881431988228,0.8855186107745595,0.04974604314261993,0.8406153846153845,0.06767552239444441,0.9229778672032193,0.032201055369602175,0.9703658119658118,0.019257963981460464,0.9603342060419638,0.0038905698936777147
59,poly,0.3,0.1,2.0,0.5,balanced,0.9132859752257311,0.016317825690071543,0.8841813135985198,0.02154756464242835,0.8175384615384615,0.018553616531300072,0.9230583501006038,0.014652861383781156,0.9751931623931626,0.016278755168085933,0.9736597512033895,0.0029627351269043084
60,poly,0.3,0.1,2.0,1.0,balanced,0.9131173346065472,0.0246220369981742,0.8837958680234351,0.03336224525834902,0.8172307692307692,0.03300206197610318,0.9230181086519114,0.021533349225839066,0.9590017094017094,0.02682844113722337,0.9751896872702366,0.003131726744892928
61,poly,3.0,scale,2.0,0.0,balanced,0.9123946319964313,0.027850295609766523,0.8819129199068408,0.03932939926908307,0.8092307692307692,0.059504860325580666,0.9230583501006038,0.023264499972645115,0.9683897435897435,0.02120330304226469,0.971764614086462,0.005290487877771238
61,poly,3.0,0.03,2.0,0.0,balanced,0.9123946319964313,0.027850295609766523,0.8819129199068408,0.03932939926908307,0.8092307692307692,0.059504860325580666,0.9230583501006038,0.023264499972645115,0.9687452991452992,0.020908529661567882,0.971764614086462,0.005290487877771238
63,poly,0.3,0.1,2.0,0.5,,0.9098045313217394,0.022170482689465303,0.8791859389454209,0.029916234591431282,0.8095384615384615,0.02967915212747689,0.9202012072434609,0.019471040252941635,0.9648615384615384,0.027924357715387736,0.9774062526091261,0.0076318573408348245
